species,rhizotron,date,humidity
maize,1,28/10,"1,400"
maize,2,28/10,"1,227"
maize,3,28/10,"1,400"
maize,4,28/10,"1,216"
maize,5,28/10,"1,400"
maize,6,28/10,"1,276"
maize,7,28/10,"1,400"
maize,8,28/10,"1,219"
sorghum,9,28/10,"1,319"
sorghum,10,28/10,"1,247"
sorghum,11,28/10,"1,235"
sorghum,12,28/10,"1,221"
sorghum,13,28/10,"1,196"
sorghum,14,28/10,"1,227"
sorghum,15,28/10,"1,245"
sorghum,16,28/10,"1,217"
maize,1,30/10,"1,400"
maize,2,30/10,"1,212"
maize,3,30/10,"1,400"
maize,4,30/10,"1,203"
maize,5,30/10,"1,400"
maize,6,30/10,"1,266"
maize,7,30/10,"1,400"
maize,8,30/10,"1,206"
sorghum,9,30/10,"1,311"
sorghum,10,30/10,"1,240"
sorghum,11,30/10,"1,207"
sorghum,12,30/10,"1,210"
sorghum,13,30/10,"1,181"
sorghum,14,30/10,"1,217"
sorghum,15,30/10,"1,232"
sorghum,16,30/10,"1,196"
maize,1,01/11,"1,400"
maize,2,01/11,"1,192"
maize,3,01/11,"1,400"
maize,4,01/11,"1,177"
maize,5,01/11,"1,400"
maize,6,01/11,"1,243"
maize,7,01/11,"1,400"
maize,8,01/11,"1,181"
sorghum,9,01/11,"1,297"
sorghum,10,01/11,"1,228"
sorghum,11,01/11,"1,185"
sorghum,12,01/11,"1,197"
sorghum,13,01/11,"1,163"
sorghum,14,01/11,"1,201"
sorghum,15,01/11,"1,220"
sorghum,16,01/11,"1,188"
maize,1,04/11,"1,400"
maize,2,04/11,"1,149"
maize,3,04/11,"1,400"
maize,4,04/11,"1,119"
maize,5,04/11,"1,400"
maize,6,04/11,"1,193"
maize,7,04/11,"1,400"
maize,8,04/11,"1,123"
sorghum,9,04/11,"1,271"
sorghum,10,04/11,"1,400"
sorghum,11,04/11,"1,166"
sorghum,12,04/11,"1,400"
sorghum,13,04/11,"1,138"
sorghum,14,04/11,"1,400"
sorghum,15,04/11,"1,199"
sorghum,16,04/11,"1,400"
maize,1,06/11,"1,400"
maize,2,06/11,"1,104"
maize,3,06/11,"1,400"
maize,4,06/11,"1,061"
maize,5,06/11,"1,400"
maize,6,06/11,"1,139"
maize,7,06/11,"1,400"
maize,8,06/11,"1,064"
sorghum,9,06/11,"1,244"
sorghum,10,06/11,"1,400"
sorghum,11,06/11,"1,139"
sorghum,12,06/11,"1,400"
sorghum,13,06/11,"1,112"
sorghum,14,06/11,"1,400"
sorghum,15,06/11,"1,175"
sorghum,16,06/11,"1,400"
maize,1,08/11,"1,400"
maize,2,08/11,"1,050"
maize,3,08/11,"1,400"
maize,4,08/11,"0,993"
maize,5,08/11,"1,400"
maize,6,08/11,"1,083"
maize,7,08/11,"1,400"
maize,8,08/11,"0,992"
sorghum,9,08/11,"1,214"
sorghum,10,08/11,"1,433"
sorghum,11,08/11,"1,110"
sorghum,12,08/11,"1,400"
sorghum,13,08/11,"1,088"
sorghum,14,08/11,"1,400"
sorghum,15,08/11,"1,149"
sorghum,16,08/11,"1,400"
maize,1,11/11,"1,400"
maize,2,11/11,"0,939"
maize,3,11/11,"1,400"
maize,4,11/11,"0,862"
maize,5,11/11,"1,400"
maize,6,11/11,"0,967"
maize,7,11/11,"1,400"
maize,8,11/11,"0,852"
sorghum,9,11/11,"1,172"
sorghum,10,11/11,"1,400"
sorghum,11,11/11,"1,071"
sorghum,12,11/11,"1,400"
sorghum,13,11/11,"1,055"
sorghum,14,11/11,"1,400"
sorghum,15,11/11,"1,108"
sorghum,16,11/11,"1,400"
maize,1,13/11,"1,400"
maize,2,13/11,"0,863"
maize,3,13/11,"1,400"
maize,4,13/11,"0,772"
maize,5,13/11,"1,400"
maize,6,13/11,"0,885"
maize,7,13/11,"1,400"
maize,8,13/11,"0,759"
sorghum,9,13/11,"1,145"
sorghum,10,13/11,"1,400"
sorghum,11,13/11,"1,045"
sorghum,12,13/11,"1,400"
sorghum,13,13/11,"1,035"
sorghum,14,13/11,"1,400"
sorghum,15,13/11,"1,080"
sorghum,16,13/11,"1,400"
maize,1,15/11,"1,400"
maize,2,15/11,"0,782"
maize,3,15/11,"1,400"
maize,4,15/11,"0,700"
maize,5,15/11,"1,400"
maize,6,15/11,"0,804"
maize,7,15/11,"1,400"
maize,8,15/11,"0,700"
sorghum,9,15/11,"1,119"
sorghum,10,15/11,"1,400"
sorghum,11,15/11,"1,021"
sorghum,12,15/11,"1,400"
sorghum,13,15/11,"1,014"
sorghum,14,15/11,"1,400"
sorghum,15,15/11,"1,051"
sorghum,16,15/11,"1,400"
maize,1,18/11,"1,400"
maize,2,18/11,"0,700"
maize,3,18/11,"1,400"
maize,4,18/11,"0,700"
maize,5,18/11,"1,074"
maize,6,18/11,"0,713"
maize,7,18/11,"0,877"
maize,8,18/11,"0,609"
sorghum,9,18/11,"1,081"
sorghum,10,18/11,"1,400"
sorghum,11,18/11,"0,988"
sorghum,12,18/11,"1,400"
sorghum,13,18/11,"0,983"
sorghum,14,18/11,"1,400"
sorghum,15,18/11,"1,009"
sorghum,16,18/11,"1,400"
maize,1,20/11,"1,400"
maize,2,20/11,"0,700"
maize,3,20/11,"1,400"
maize,4,20/11,"0,700"
maize,5,20/11,"0,000"
maize,6,20/11,"0,000"
maize,7,20/11,"0,000"
maize,8,20/11,"0,000"
sorghum,9,20/11,"1,039"
sorghum,10,20/11,"1,400"
sorghum,11,20/11,"0,955"
sorghum,12,20/11,"1,400"
sorghum,13,20/11,"0,959"
sorghum,14,20/11,"1,400"
sorghum,15,20/11,"0,972"
sorghum,16,20/11,"1,400"
maize,1,22/11,"1,400"
maize,2,22/11,"0,700"
maize,3,22/11,"1,400"
maize,4,22/11,"0,700"
maize,5,22/11,"0,000"
maize,6,22/11,"0,000"
maize,7,22/11,"0,000"
maize,8,22/11,"0,000"
sorghum,9,22/11,"1,002"
sorghum,10,22/11,"1,400"
sorghum,11,22/11,"0,925"
sorghum,12,22/11,"1,400"
sorghum,13,22/11,"0,932"
sorghum,14,22/11,"1,400"
sorghum,15,22/11,"0,932"
sorghum,16,22/11,"1,400"
maize,1,25/11,"0,712"
maize,2,25/11,"0,558"
maize,3,25/11,"0,761"
maize,4,25/11,"0,519"
maize,5,25/11,"0,000"
maize,6,25/11,"0,000"
maize,7,25/11,"0,000"
maize,8,25/11,"0,000"
sorghum,9,25/11,"0,938"
sorghum,10,25/11,"1,400"
sorghum,11,25/11,"0,877"
sorghum,12,25/11,"1,400"
sorghum,13,25/11,"0,902"
sorghum,14,25/11,"1,400"
sorghum,15,25/11,"0,875"
sorghum,16,25/11,"1,400"
maize,1,27/11,"0,000"
maize,2,27/11,"0,000"
maize,3,27/11,"0,000"
maize,4,27/11,"0,000"
maize,5,27/11,"0,000"
maize,6,27/11,"0,000"
maize,7,27/11,"0,000"
maize,8,27/11,"0,000"
sorghum,9,27/11,"0,864"
sorghum,10,27/11,"1,405"
sorghum,11,27/11,"0,826"
sorghum,12,27/11,"1,400"
sorghum,13,27/11,"0,872"
sorghum,14,27/11,"1,400"
sorghum,15,27/11,"0,819"
sorghum,16,27/11,"1,400"
maize,1,29/11,"0,000"
maize,2,29/11,"0,000"
maize,3,29/11,"0,000"
maize,4,29/11,"0,000"
maize,5,29/11,"0,000"
maize,6,29/11,"0,000"
maize,7,29/11,"0,000"
maize,8,29/11,"0,000"
sorghum,9,29/11,"0,789"
sorghum,10,29/11,"1,400"
sorghum,11,29/11,"0,777"
sorghum,12,29/11,"1,400"
sorghum,13,29/11,"0,842"
sorghum,14,29/11,"1,400"
sorghum,15,29/11,"0,765"
sorghum,16,29/11,"1,400"
maize,1,02/12,"0,000"
maize,2,02/12,"0,000"
maize,3,02/12,"0,000"
maize,4,02/12,"0,000"
maize,5,02/12,"0,000"
maize,6,02/12,"0,000"
maize,7,02/12,"0,000"
maize,8,02/12,"0,000"
sorghum,9,02/12,"0,700"
sorghum,10,02/12,"1,400"
sorghum,11,02/12,"0,689"
sorghum,12,02/12,"1,400"
sorghum,13,02/12,"0,791"
sorghum,14,02/12,"1,400"
sorghum,15,02/12,"0,700"
sorghum,16,02/12,"1,400"