date,thermal time
21/10,0
23/10,"0,00"
24/10,"11,83"
25/10,"23,67"
26/10,"35,50"
27/10,"47,33"
28/10,"59,17"
29/10,"71,00"
30/10,"82,83"
31/10,"94,67"
1/11,"106,50"
2/11,"118,33"
3/11,"130,17"
4/11,"142,00"
5/11,"153,83"
6/11,"165,67"
7/11,"177,50"
8/11,"189,33"
9/11,"201,17"
10/11,"213,00"
11/11,"224,83"
12/11,"236,67"
13/11,"248,50"
14/11,"260,33"
15/11,"272,17"
16/11,"284,00"
17/11,"295,83"
18/11,"307,67"
19/11,"319,50"
20/11,"331,33"
21/11,"343,17"
22/11,"355,00"
23/11,"366,83"
24/11,"378,67"
25/11,"390,50"
26/11,"402,33"
27/11,"414,17"
28/11,"426,00"
29/11,"437,83"
30/11,"449,67"
1/12,"461,50"
2/12,"473,33"